sentence,intent
Call John.,Calling a Person
Dial John.,Calling a Person
Can you dial Mark's number?,Calling a Person
Please call Sarah right now.,Calling a Person
I need to call Robert, his number is in my contacts.,Calling a Person
Dial Saira's number.,Calling a Person
Please call my mom.,Calling a Person
Can you ring up Jane on her cell?,Calling a Person
Could you call Fatima's cell phone?,Calling a Person
Make a call to Peter at his office.,Calling a Person
Give Asmeer a ring at his workplace.,Calling a Person
Can you connect me to Ali on his home number?,Calling a Person
Call my dad on his mobile phone.,Calling a Person
Please make a phone call to mother her number's saved.,Calling a Person
Dial my friend Steve at 0333-2224319.,Calling a Person
My pal Steve's number is 0331-2224319.,Calling a Person
Could you call Chris on Skype?,Calling a Person
Call Lisa please.,Calling a Person
Please call Mike's number for a business update.,Calling a Person
"Make a call to the office, it�s urgent.",Calling a Person
Connect me to my brother in Punjab.,Calling a Person
Connect me to my brother in Punjab.,Calling a Person
Please ring up Alex right away.,Calling a Person
Please give Shakeel a call immediately.,Calling a Person
Is it possible for you to call Mark?,Calling a Person
Can you make a call to my friend in New York?,Calling a Person
